"","species","GRLFRLPL"
"1","Abies_procera","GR-GL+FR+FL+PL+"
"2","Acaena_novae-zelandiae","GR-GL+FR-FL-PL-"
"3","Acer_campestre","GR-GL-FR+FL+PL-"
"4","Acer_palmatum","GR+GL+FR+FL+PL-"
"5","Acer_platanoides","GR-GL-FR+FL+PL-"
"6","Acer_pseudoplatanus","GR-GL-FR+FL+PL+"
"7","Acer_saccharinum","GR-GL+FR+FL+PL-"
"8","Achillea_filipendulina","GR+GL+FR-FL-PL-"
"9","Achillea_millefolium","GR-GL-FR-FL-PL-"
"10","Achillea_nobilis","GR+GL+FR-FL-PL-"
"11","Achillea_ptarmica","GR-GL-FR-FL-PL-"
"12","Aconitum_napellus","GR-GL+FR-FL-PL-"
"13","Acorus_calamus","GR-GL+FR-FL-PL+"
"14","Actaea_spicata","GR+GL-FR+FL+PL-"
"15","Adoxa_moschatellina","GR-GL-FR+FL+PL-"
"16","Aegopodium_podagraria","GR-GL-FR-FL-PL-"
"17","Aesculus_hippocastanum","GR-GL-FR+FL+PL-"
"18","Aethusa_cynapium","GR-GL-FR-FL-PL-"
"19","Agrimonia_eupatoria","GR-GL-FR-FL-PL-"
"20","Agrimonia_procera","GR-GL+FR-FL-PL-"
"21","Agrostemma_githago","GR-GL+FR-FL-PL-"
"22","Agrostis_canina","GR-GL-FR-FL-PL-"
"23","Agrostis_capillaris","GR-GL-FR-FL-PL+"
"24","Agrostis_castellana","GR+GL+FR-FL+PL-"
"25","Agrostis_gigantea","GR-GL-FR-FL-PL-"
"26","Agrostis_scabra","GR+GL+FR+FL+PL-"
"27","Agrostis_stolonifera","GR-GL-FR-FL-PL+"
"28","Agrostis_vinealis","GR-GL-FR+FL-PL-"
"29","Ailanthus_altissima","GR-GL+FR+FL+PL-"
"30","Aira_caryophyllea","GR-GL-FR-FL-PL-"
"31","Aira_praecox","GR-GL-FR-FL-PL+"
"32","Ajuga_pyramidalis","GR+GL-FR-FL-PL-"
"33","Ajuga_reptans","GR-GL-FR-FL-PL-"
"34","Alcea_rosea","GR-GL-FR-FL-PL-"
"35","Alchemilla_alpina","GR-GL-FR-FL-PL-"
"36","Alchemilla_glabra","GR-GL-FR-FL-PL-"
"37","Alchemilla_xanthochlora","GR-GL-FR-FL+PL-"
"38","Alisma_lanceolatum","GR-GL+FR-FL-PL+"
"39","Alisma_plantago-aquatica","GR-GL-FR-FL-PL+"
"40","Alliaria_petiolata","GR-GL-FR+FL+PL-"
"41","Allium_paradoxum","GR-GL+FR+FL+PL+"
"42","Allium_sphaerocephalon","GR+GL+FR-FL+PL+"
"43","Allium_vineale","GR-GL-FR-FL-PL+"
"44","Alnus_glutinosa","GR-GL-FR+FL+PL+"
"45","Alnus_incana","GR-GL+FR+FL+PL-"
"46","Alopecurus_geniculatus","GR-GL-FR-FL-PL-"
"47","Alopecurus_magellanicus","GR+GL-FR-FL-PL-"
"48","Alopecurus_myosuroides","GR-GL-FR-FL-PL-"
"49","Alopecurus_pratensis","GR-GL-FR-FL-PL-"
"50","Althaea_officinalis","GR+GL+FR-FL-PL-"
"51","Amaranthus_blitum","GR+GL+FR-FL-PL-"
"52","Amaranthus_caudatus","GR+GL+FR-FL-PL-"
"53","Andromeda_polifolia","GR-GL-FR-FL+PL-"
"54","Anemone_nemorosa","GR-GL-FR-FL-PL+"
"55","Angelica_archangelica","GR+GL+FR-FL-PL-"
"56","Angelica_sylvestris","GR-GL-FR-FL-PL-"
"57","Antennaria_dioica","GR-GL-FR+FL-PL-"
"58","Anthemis_arvensis","GR+GL+FR-FL-PL-"
"59","Anthemis_cotula","GR-GL-FR-FL-PL-"
"60","Anthoxanthum_odoratum","GR-GL-FR-FL-PL+"
"61","Anthriscus_caucalis","GR-GL-FR-FL-PL-"
"62","Anthriscus_cerefolium","GR+GL+FR-FL-PL-"
"63","Anthriscus_sylvestris","GR-GL-FR-FL-PL-"
"64","Anthyllis_vulneraria","GR-GL-FR-FL-PL+"
"65","Antirrhinum_majus","GR-GL-FR-FL-PL-"
"66","Aphanes_australis","GR-GL-FR-FL-PL-"
"67","Aquilegia_vulgaris","GR-GL-FR-FL-PL+"
"68","Arabidopsis_thaliana","GR-GL-FR-FL-PL-"
"69","Arabis_caucasica","GR+GL+FR-FL-PL-"
"70","Arabis_hirsuta","GR-GL-FR-FL-PL-"
"71","Aralia_elata","GR+GL+FR+FL+PL-"
"72","Araucaria_araucana","GR-GL+FR+FL+PL+"
"73","Arctium_lappa","GR-GL-FR+FL-PL-"
"74","Arctium_minus","GR-GL-FR+FL-PL-"
"75","Arctostaphylos_uva-ursi","GR-GL-FR-FL-PL-"
"76","Armeria_maritima","GR-GL-FR-FL-PL+"
"77","Arrhenatherum_elatius","GR-GL-FR-FL-PL+"
"78","Artemisia_absinthium","GR-GL-FR-FL-PL-"
"79","Artemisia_annua","GR+GL+FR-FL-PL-"
"80","Artemisia_maritima","GR+GL-FR-FL-PL-"
"81","Artemisia_vulgaris","GR-GL-FR+FL-PL-"
"82","Arum_maculatum","GR-GL-FR+FL-PL+"
"83","Asperula_cynanchica","GR-GL-FR-FL-PL-"
"84","Astragalus_danicus","GR+GL-FR-FL-PL-"
"85","Astragalus_glycyphyllos","GR+GL+FR-FL-PL-"
"86","Astrantia_major","GR+GL+FR-FL+PL-"
"87","Atriplex_halimus","GR+GL+FR+FL-PL-"
"88","Atriplex_littoralis","GR-GL-FR-FL-PL-"
"89","Atriplex_patula","GR-GL-FR-FL-PL-"
"90","Atriplex_prostrata","GR-GL-FR-FL-PL-"
"91","Avena_fatua","GR-GL-FR+FL-PL-"
"92","Avena_sativa","GR-GL-FR-FL-PL-"
"93","Avena_strigosa","GR+GL-FR+FL-PL+"
"94","Barbarea_vulgaris","GR-GL-FR-FL-PL-"
"95","Bellis_perennis","GR-GL-FR-FL-PL-"
"96","Berberis_julianae","GR+GL+FR+FL+PL-"
"97","Berberis_thunbergii","GR-GL+FR-FL-PL+"
"98","Berula_erecta","GR-GL-FR+FL+PL-"
"99","Betula_pendula","GR-GL-FR-FL-PL-"
"100","Betula_pubescens","GR-GL-FR+FL-PL-"
"101","Bidens_cernua","GR-GL-FR-FL-PL-"
"102","Bidens_connata","GR+GL+FR-FL-PL-"
"103","Bidens_tripartita","GR-GL-FR-FL-PL-"
"104","Bistorta_officinalis","GR-GL-FR-FL-PL-"
"105","Bistorta_vivipara","GR-GL-FR-FL-PL-"
"106","Blackstonia_perfoliata","GR-GL-FR-FL-PL-"
"107","Blitum_bonus-henricus","GR-GL+FR-FL-PL-"
"108","Blysmus_compressus","GR+GL-FR-FL-PL-"
"109","Bolboschoenus_maritimus","GR-GL-FR+FL-PL+"
"110","Borago_officinalis","GR-GL+FR-FL-PL-"
"111","Brachypodium_pinnatum","GR-GL-FR-FL-PL-"
"112","Brachypodium_sylvaticum","GR-GL-FR-FL+PL-"
"113","Brassica_juncea","GR+GL+FR-FL-PL-"
"114","Brassica_napus","GR-GL-FR-FL-PL-"
"115","Brassica_nigra","GR-GL-FR-FL-PL-"
"116","Brassica_oleracea","GR-GL+FR-FL-PL-"
"117","Briza_maxima","GR-GL+FR-FL-PL-"
"118","Briza_media","GR-GL-FR-FL-PL-"
